ID	字头	级别	课标字表标记	低段字序	中低段字序	全段字序
2312	纽	d	表一	2257	1837	2092
2313	妖	c	表二	1365	1491	1572
2314	鹃	d	表二	1751	2241	2467
2315	坝	d	表一	1718	2293	2482
2316	垫	e	表一	2065	2391	2574
2318	愚	d	表一	1985	2184	2307
2319	锻	e	表一	2074	2507	2575
2320	岂	e	表一	2911	2941	2594
2321	霎	e	表二	2670	2544	2687
2323	韩	d	表一	2556	2348	1943
2324	眶	e	表二	3022	2662	2595
2325	腮	e	表二	2183	2753	2684
2326	纺	d	表一	1998	2483	2260
2327	订	d	表一	2490	2518	2335
2328	恒	d	表一	2392	2235	2285
2329	吭	d	表二	2345	2426	2381
2330	劣	e	表一	2767	2694	2567
2331	孟	d	表一	1290	2150	2151
2332	肺	d	表一	2407	2445	2371
2333	猬	d	表二	702	1497	1911
2334	傅	d	表一	1703	1538	1599
2335	胶	d	表一	2493	2549	2279
2336	斩	e	表二		2878	2547
2337	喻	d	表一	2132	2659	2472
2338	呱	d		826	1674	2022
2339	耻	e	表二	2581	2638	2580
2340	昌	d	表一	2251	1646	1921
2341	仆	d	表二		2441	2274
2342	骤	e	表一	2494	2577	2643
2343	亦	d	表一	2497	2632	2286
2344	硕	e	表二	2774	2799	2709
2345	违	e	表一	2410	2492	2630
2346	壤	d	表一	3249	2354	2343
2347	吆	d	表二	1812	2196	2347
2348	辟	e	表一	2569	2541	2556
2349	扒	e	表二	2287	2340	2590
2350	吨	d	表一	3255	2437	2209
2351	诊	d	表一	1692	2121	2338
2352	嘎	d		1492	1643	1701
2353	曹	a	表一	615	1105	1224
2354	辩	e	表一	2227	2431	2514
2355	赫	d	表一	2284	2285	2163
2356	慨	e	表一	3052	2857	2616
2357	韵	e	表一	3049	2826	2559
2359	缸	d	表一	1265	1529	1854
2360	洼	d	表二	1942	1911	2275
2361	辫	e	表二	1991	2278	2598
2362	勺	e	表二	1922	2415	2526
2363	甸	d	表二	1983	2097	2154
2364	秧	d	表二	1719	2489	2462
2365	惭	e	表二	2076	2582	2749
2366	鞠	e	表二	2488	2491	2611
2367	谦	e	表一	2396	2277	2579
2368	址	e	表一	2342	2377	2599
2369	拆	e	表一	2580	2618	2506
2371	莱	c	表一	1667	1382	1560
2372	渗	e	表一	2685	2725	2619
2373	胧	e	表二	2431	2768	2517
2374	携	e	表一	3030	2700	2703
2375	栖	e	表一	2680	2644	2699
2376	析	e	表一	2416	2556	2600
2377	膛	e	表二	2601	2859	2665
2378	撼	e	表二		2795	2524
2379	宴	e	表一	2588	2696	2592
2380	魏	d	表一	2043	1723	1862
2381	炭	d	表一	1990	2249	2326
2382	签	d	表一	2855	2197	2365
2383	挪	e	表一	2425	2661	2529
2384	禽	d	表一		2551	2492
2385	匀	e	表一	2674	2575	2613
2386	蔚	e	表二	3259	2474	2552
2387	脂	d	表一	2744	2383	2233
2388	甫	d	表二	1887	2428	2407
2389	蹬	e	表二	2413	2524	2551
2390	蛛	d	表一	951	1703	1831
2391	蚊	d	表一	2267	2067	2349
2392	朦	e	表二	2432	2769	2530
2393	浆	d	表一	2576	2591	2199
2394	涧	d	表二	2683	2719	2310
2395	俱	e	表一	2881	2623	2615
2396	梭	e	表二	2290	2416	2534
2397	舅	c	表一	970	1229	1462
2398	纠	e	表一	3028	2697	2622
2399	粪	e	表一	1813	2276	2548
2400	狭	e	表一	2671	2553	2557
2401	哮	e	表二	3038	2724	2596
2402	肿	d	表一	3278	2794	2479
2403	灶	e	表一	2684	2722	2521
2404	沃	d	表一	2990	1465	1873
2405	蝌	d	表二	1173	1883	2436
2406	蚪	d	表二	1174	1884	2437
2407	胁	e	表一	2786	2903	2614
2408	赴	e	表一	2930	3121	2607
2410	谎	e	表二	2573	2574	2612
2411	幢	d	表二	1997	2454	2483
2412	锄	d	表二	1815	2371	2387
2413	蓄	e	表一	3273	2677	2585
2414	审	d	表一	2293	2466	2354
2416	沫	d	表一	3251	2380	2120
2417	柿	d	表二	1987	2225	2469
2418	坊	d	表一	1661	2282	2007
2419	售	e	表一	1784	2475	2554
2420	倚	e	表二	3292	2970	2721
2421	桦	d	表一	2264	2015	2244
2423	聋	d	表二	2769	2718	2174
2424	锤	d	表一	2398	2306	2414
2425	妆	d	表二	2000	2503	2484
2426	晋	d	表一	2995	2000	2088
2427	胃	d	表一	2217	2186	2332
2428	樱	d	表二	1526	2093	2060
2429	浙	e	表一	2504	2801	2727
2430	袄	e	表二	2297	2554	2578
2431	婴	e	表一		2432	2586
2432	凛	e	表二	3016	2552	2542
2433	逛	e	表二	2677	2598	2645
2434	艾	c	表一	1842	1893	1550
2436	蠢	d	表二	2560	2414	2485
2437	柄	d	表一	2421	2635	2495
2438	梧	e	表二	2350	2527	2685
2439	霉	e	表一	2886	2698	2647
2440	阁	d	表一	2878	2616	2488
2441	穴	d	表一	1920	2289	2389
2442	苞	e	表二	1925	2477	2628
2443	寨	d	表二	2387	2124	1950
2444	憾	e	表二		2771	2690
2445	卢	d	表一	3242	1931	2208
2446	驳	e	表一	2300	2619	2516
2447	拣	e	表二	2419	2597	2631
2448	莉	d	表一	1030	1832	1859
2449	胎	d	表一	2770	2721	2487
2450	瞄	e	表二	2426	2680	2716
2451	骏	e	表二	1785	2526	2641
2452	础	e	表一	2607	2943	2730
2453	霄	e	表二	2590	2729	2781
2454	跋	e	表二	3286	2911	2757
2455	捣	e	表二	3029	2699	2658
2456	鸿	d	表一	1919	2089	2297
2457	逊	d	表二	3241	1737	1899
2458	抑	e	表一	3312	3124	2722
2459	槐	d	表二	1857	1157	1614
2460	蕉	d	表二	1416	2017	2429
2461	崭	e	表二	3032	2704	2732
2462	晾	e	表二	1926	2586	2878
2463	嗒	d		1047	1752	2071
2464	拘	e	表二		2880	2661
2465	萤	d	表二	1691	1968	2011
2466	腻	e	表二	2585	2681	2741
2467	萎	e	表一	2669	2525	2593
2468	峦	e	表二	2763	2643	2655
2469	搅	d	表一	2879	2617	2489
2470	茎	d	表一	2472	2113	2397
2471	骆	c	表一	1316	1423	1468
2472	厘	e	表一	2664	2476	2566
2473	兼	e	表一	3319	3175	2715
2474	馨	e	表二	3267	2599	2667
2475	耽	e	表二	2602	2866	2867
2476	缎	e	表二	2687	2773	2772
2477	循	e	表一	3287	2913	2794
2478	蜘	d	表一	973	1724	1894
2479	乔	d	表一	2282	2257	2098
2480	氧	d	表一		2179	2141
2481	匙	d	表一	2027	2260	2313
2482	菌	d	表一	2750	2438	2218
2483	宰	e	表一	2085	2827	2576
2484	祭	d	表二	3069	3005	2134
2485	蔓	d	表二	1609	2517	2306
2486	谣	e	表二	2002	2530	2739
2487	蟹	d	表一	1351	2014	2221
2488	租	e	表一		2505	2511
2489	遵	e	表一	3034	2708	2808
2490	禹	d	表二	1172	1807	1860
2491	葫	d	表一	1019	1350	1844
2492	役	d	表一	3258	2465	2305
2493	澄	e	表二	1753	2543	2627
2494	贼	d	表一	3013	2450	2416
2495	籽	d	表一	1525	2076	2430
2496	咸	e	表一	2682	2706	2762
2497	申	d	表一	1370	2261	2446
2498	泄	e	表一	2509	2882	2791
2499	萧	d	表一	1982	2088	2143
2500	频	d	表一	2651	2253	2497
2501	侯	d	表一	2553	2330	2287
2502	嘶	e	表二	3033	2705	2742
2504	掘	e	表一	3247	2322	2510
2506	刨	d	表二	2119	2262	2471
2507	浊	e	表二	2570	2560	2815
2508	矩	e	表一	3019	2576	2621
2509	喃	d		2736	2171	2320
2510	逸	e	表一	2359	2832	2770
2511	睬	e	表二	2239	2671	3003
2512	彭	d	表二	2057	2051	2102
2514	锡	d	表一	2116	2193	2124
2515	崩	e	表一	3269	2639	2584
2516	怯	e	表二	2920	3007	2702
2517	瞎	d	表一	2606	2940	2451
2518	履	e	表一	2907	2907	2657
2519	狱	e	表一		2879	2587
2520	荆	d	表二	2711	3260	2434
2521	框	e	表二	2694	2942	2708
2522	漉	d		2288	2370	2370
2523	徽	d	表一	2399	2308	2474
2524	撤	e	表一	2555	2338	2518
2525	澎	e	表二	3282	2862	2733
2526	偿	e	表一		2736	2944
2527	肖	d	表二	2075	2566	2360
2528	湃	e	表二	3279	2800	2713
2529	蚯	d	表一	1271	1940	2345
2530	蚓	d	表一	1272	1941	2346
2531	簸	e	表二	2778	2833	2774
2532	卑	e	表一	2792	2974	2766
2533	宅	d	表一	2643	2112	2364
2534	销	e	表一	2661	2433	2674
2536	懊	e	表二	2706	3125	2763
2537	帅	d	表一	1917	2040	2388
2538	岳	d	表一	1783	2349	1949
2539	僻	e	表二	2436	2887	2851
2540	脯	d	表二	2375	1726	2190
2541	蔬	e	表一	2412	2513	2771
2544	拓	e	表一		3736	2797
2545	哺	d	表二	2856	2223	2375
2546	践	e	表一	2498	2637	2565
2547	锣	e	表二	2429	2707	2790
2548	械	e	表一	3057	2910	2755
2549	拎	e	表二	2082	2737	2979
2550	菲	d	表一	2654	2305	2402
2551	侍	d	表一	3270	2657	2405
2553	霍	d	表一	1952	2258	2180
2554	邓	d	表一	1413	1621	1707
2555	渺	e	表二		3311	2796
2557	僧	d	表一	1994	2346	1868
2558	憋	e	表二	2766	2667	2882
2559	惫	e	表二	3284	2888	2860
2560	峨	e	表二	3275	2751	2617
2561	邦	d	表一	2025	2203	2222
2562	珊	d	表一	2377	1847	2114
2563	祈	e	表二	2906	2905	2633
2564	慎	e	表一	3040	2733	2888
2565	忌	d	表一	2993	1890	2070
2566	囊	e	表一	2563	2457	2632
2567	肆	e	表二	2901	2886	2840
2568	朽	e	表一		2912	2776
2569	犁	e	表一	2887	2701	2710
2570	惟	e	表一		2752	2637
2571	滥	e	表一	2598	2838	2817
2572	厢	e	表一	2283	2275	2515
2573	拌	e	表二	2422	2645	2707
2574	芝	e	表一	2764	2646	2717
2575	铭	e	表二	2927	3085	2856
2576	啃	e	表二	2787	2916	2854
2577	蒂	d	表二	2240	2748	2214
2578	瓷	d	表一	2604	2901	1825
2579	驯	e	表二	2423	2647	2726
2580	巅	e	表二	3044	2804	2841
2582	戚	d	表一	2330	2122	2425
2584	橙	e	表一	2656	2341	2602
2585	磅	d	表二		2318	2367
2586	瓢	d	表一	2389	2188	2363
2587	饲	e	表一	2884	2664	2688
2588	伶	e	表二	2773	2777	2820
2589	窿	d	表二	1478	2016	2418
2590	矫	e	表二	3062	2948	2928
2591	棱	e	表二	2505	2803	2813
2593	琢	e	表二	2349	2478	2760
2594	魁	e	表二	2897	2830	2656
2595	轨	e	表一	2747	2417	2539
2596	嫁	d	表一		2572	2498
2597	轼	d		2534	1954	2450
2598	炒	e	表一	2414	2546	2803
2599	捐	d	表二		2070	2039
2600	钦	e	表二	2898	2834	2783
2601	袜	e	表二	2241	2775	2800
2602	嗅	e	表一	2880	2620	2558
2603	钥	d	表一	2228	2448	2413
2606	掰	e	表二	2004	2814	3105
2607	卓	e	表二	3031	2703	2719
2608	栅	d	表二	3042	2749	2391
2609	犬	a	表一，308	1957	2407	2284
2610	熏	e	表二	2775	2807	2897
2611	胀	e	表一	2430	2741	3063
2612	瑙	e	表二	2869	2508	2620
2613	霸	e	表一	2578	2601	2729
2614	咙	e	表二	2681	2682	2792
2615	沥	e	表二	2122	2344	2694
2616	凯	d	表一	3017	2563	2128
2617	涩	e	表二		2869	2900
2618	拇	e	表一	2675	2578	2644
2619	赐	e	表二		3215	2735
2620	栗	e	表二	2755	2479	2782
2621	矛	d	表一	2536	1990	2195
2622	琳	d	表二	1953	2311	2160
2623	蟋	d	表二	2102	1848	2339
2624	蟀	d	表二	2103	1849	2340
2625	祷	e	表二	3285	2906	2636
2626	账	d	表一	2851	2102	2444
2627	茵	e	表二	1786	2557	2738
2628	娥	d	表二	2741	2350	2094
2629	瞅	e	表一	2506	2831	2664
2630	拽	e	表二	2696	2979	2853
2632	厦	e	表一	2574	2579	2672
2633	惠	d	表一	2400	2317	2327
2634	铛	d	表二	2224	2272	2380
2635	缭	e	表二	3290	2927	3036
2637	裕	e	表一	2784	2883	2804
2638	囚	e	表二	2705	3123	2701
2639	骚	e	表二		2918	2876
2640	鼎	d	表二	2071	2498	2299
2641	陋	e	表二	3076	3050	2899
2642	挎	e	表二	2235	2588	2962
2643	陕	e	表一	2914	2976	2823
2644	耗	e	表一		3047	2828
2645	桨	d	表二	3011	2388	2435
2646	督	e	表一	2905	2902	2509
2647	宵	e	表二	2237	2650	2831
2648	嗽	e	表二	2411	2493	2670
2649	魅	e	表二		3176	2725
2650	妨	e	表一	3082	3091	2996
2651	柯	d		2486	2425	2373
2652	押	e	表二	3283	2881	2775
2653	磕	e	表二	3023	2665	2731
2654	褂	e	表二	2500	2684	2834
2655	蕾	e	表一	2900	2884	2821
2656	绅	e	表二	2168	2199	2532
2657	肝	e	表一	2762	2641	2605
2659	焚	e	表二	2932	3128	2885
2660	睹	e	表二		3265	2915
2661	焕	e	表二	2801	3017	3030
2662	碟	e	表二	1954	2376	2555
2664	穆	e	表一		2904	2624
2665	盾	d	表一	2540	2099	2167
2666	瑟	d	表二	3010	2385	2294
2667	铸	e	表二	2802	3046	2806
2668	撩	e	表二	3084	3093	3016
2669	蘸	d		2063	2307	2432
2670	症	e	表一	2691	2865	2837
2671	侦	d	表一	2030	2614	2470
2673	箩	e	表二	1754	2628	2919
2675	懈	e	表二	2700	3054	3012
2676	痴	e	表二	3087	3122	2635
2677	沐	e	表二	2695	2958	3190
2678	仲	d	表一	2296	2515	1928
2679	蔼	e	表二	2693	2893	3084
2680	绊	e	表二	2686	2738	2984
2681	坟	e	表一	3037	2723	2543
2682	酬	e	表一		2581	2724
2683	衷	e	表二		3013	2930
2684	赔	e	表一	2427	2687	2865
2685	粱	e	表二	2899	2861	2711
2686	侮	e	表二		2921	2946
2687	衍	e	表一	3073	3014	2987
2688	董	d	表二	2731	2068	2420
2689	蝙	d	表一	2634	1749	1922
2690	蝠	d	表一	2635	1750	1923
2691	呻	e	表二	2779	2840	2869
2692	拄	e	表二	2895	2809	2927
2693	庐	e	表二	1607	2055	2513
2694	唧	d	表二	1882	2189	2431
2696	杉	d	表一	2084	2792	2411
2697	秆	d	表二	2999	2155	2490
2698	妒	e	表二	3045	2810	2943
2699	礁	e	表一	2597	2828	2581
2700	虐	e	表二		2890	2914
2701	葵	e	表一	2181	2605	2921
2702	蜗	d	表二	936	1627	1968
2703	廉	d	表一	2939	3210	1766
2704	莽	e	表二		2796	2546
2705	膜	e	表一	2735	2161	2507
2706	乞	d	表二	2739	2303	2352
2707	寡	e	表二	3027	2695	2569
2710	刑	e	表一	3123	3308	2570
2711	嗦	e	表二	2793	2975	2805
2713	茄	e	表一	1453	2174	2692
2714	噪	e	表一	2689	2839	2818
2716	睦	e	表二	2885	2669	2967
2717	桐	e	表一	2357	2808	2923
2719	揪	e	表二	3061	2945	2756
2720	渣	e	表一	2890	2755	2752
2721	拧	e	表二	2499	2678	2653
2722	赚	e	表一	3053	2868	2898
2723	刊	e	表一	3318	3174	2689
2724	聘	e	表二	2134	2761	2920
2725	萌	e	表一	3342	3315	3022
2726	跷	e	表二	1324	2156	2682
2727	诲	e	表二	2518	3087	2908
2729	筷	e	表二	1960	2624	2693
2730	磁	e	表一	1890	2651	2932
2731	咖	e	表二	2586	2683	2816
2732	茧	e	表二	1608	2295	2597
2733	殖	e	表一	2768	2702	2718
2734	牡	e	表一	2081	2728	2778
2735	雹	e	表二	2131	2559	2799
2736	怖	e	表二		2922	2956
2738	搓	e	表二	3043	2778	2824
2739	淙	d		2655	2336	2441
2740	咏	e	表二	1817	2754	2747
2741	茁	e	表二	2605	2929	3083
2742	抡	e	表二	2243	2867	2895
2743	垛	e	表二	2761	2626	2764
2744	雏	d	表二	2533	1952	2271
2745	凹	e	表一	2902	2891	2968
2747	旭	e	表二	2245	3031	3252
2748	赋	e	表一	2614	3083	2852
2749	囱	e	表二	2079	2710	2933
2750	啡	e	表一	2587	2685	2836
2751	橱	e	表二	2690	2860	2700
2752	蚱	d		2593	2750	2433
2753	嘉	d	表一	3244	2108	2129
2754	逆	e	表一	3077	3055	3015
2755	膏	e	表二	2806	3061	3144
2756	椒	e	表二	2242	2836	2801
2757	拙	e	表二	2610	3026	3165
2758	挚	e	表二		3224	3101
2759	俘	e	表二	3331	3262	2872
2760	擎	e	表二	3288	2917	2861
2761	屠	e	表一	2180	2596	2577
2762	榆	d	表二	2218	2187	2341
2763	呐	e	表二	3145	3440	2623
2764	窃	e	表一		2636	2523
2765	韧	e	表二	3352	3384	2844
2766	晌	e	表二	2688	2812	2994
2767	栩	d		2760	2615	2486
2768	绷	e	表二		2908	2679
2770	偎	e	表二	2788	2931	3142
2771	屹	e	表二		2829	2639
2772	尿	e	表一	2298	2562	2879
2773	届	e	表一	3297	3015	2988
2774	稽	e	表二	2511	2928	3066
2775	粥	e	表二	2783	2863	2765
2778	疙	e	表二	2595	2805	2880
2779	瘩	e	表二	2596	2806	2881
2781	倘	e	表二	3137	3385	2913
2782	搀	e	表二	2698	3012	2926
2783	矣	e	表一	2947	3309	2676
2784	卿	d	表二	2364	3080	2164
2785	蛮	e	表一		3269	3043
2786	薇	e	表二	1573	2327	2785
2787	旬	e	表二	3071	3009	2825
2788	炫	e	表二		3219	3042
2789	秩	e	表二	2304	2782	3029
2790	蝈	d		1057	1521	1747
2791	沈	d	表二	2121	2304	2361
2792	蔑	e	表二		2985	3000
2793	揣	e	表二	3322	3182	3039
2794	莎	c		1931	1314	1551
2795	煎	e	表二	2803	3048	2839
2796	哲	e	表一		2727	2660
2797	苟	e	表二	2618	3221	3049
2798	寇	d	表二	2336	2251	2426
2800	渠	e	表二	2187	2864	2779
2801	鲸	c	表一	1894	1325	1473
2802	绰	e	表二		2856	2609
2805	婶	e	表一	1844	2041	2525
2806	豌	d	表二	2373	1466	1963
2808	剔	e	表二	3307	3095	3118
2809	烘	e	表二	1992	2323	2531
2810	裸	e	表一		2798	2638
2811	谨	e	表二		3127	2877
2812	蒜	e	表一	2780	2847	3085
2813	灼	e	表二	3341	3313	2954
2814	菩	e	表二	2577	2600	2673
2815	叙	d	表一	3311	3120	2235
2816	矗	e	表二	3302	3058	3075
2817	猩	d	表一	988	1430	1685
2818	袁	d	表一	2352	2535	2113
2819	综	e	表一	3109	3222	3052
2820	怡	e	表二	2796	2988	3069
2821	鉴	e	表一	3418	3734	2572
2822	躁	e	表一	2354	2690	2922
2825	邪	e	表二	3117	3261	2793
2826	暇	e	表二		2926	3025
2827	狡	e	表二	2611	3057	3067
2828	啰	e	表二	1816	2529	2705
2829	叩	e	表二	3091	3139	3115
2830	冯	e	表一	2600	2854	2601
2831	怔	e	表二		2949	2957
2832	俐	e	表二	2692	2892	3011
2833	贾	d	表一	2365	3081	2355
2834	沮	e	表二		3267	2959
2835	嘀	e	表二	2077	2649	2787
2836	蕊	e	表二	2519	3097	3137
2837	孕	e	表一		3318	3058
2838	屉	e	表二	2812	3186	3070
2839	榜	e	表二		3310	2777
2840	蓉	e	表二	2184	2784	3045
2841	吠	e	表二	2810	3138	3088
2842	乾	e	表二	2485	2419	2671
2843	贤	e	表一	3332	3266	2953
2844	兆	e	表一	2798	2993	3193
2845	蹭	e	表二	2875	2604	2871
2846	煞	e	表二		3094	3057
2847	轿	e	表一	2807	3084	2855
2848	讽	e	表二		3142	3157
2849	汝	e	表二	2435	2885	2833
2850	潇	e	表二	2908	2914	2822
2851	墩	e	表二	2362	2915	2850
2852	趾	e	表一	2894	2789	3215
2854	捎	e	表二	2434	2785	3064
2857	撇	e	表二	2514	2986	3009
2858	戳	e	表二	2790	2946	2838
2859	妄	e	表二		3181	3027
2860	惶	e	表二	3321	3180	3021
2862	殷	e	表二	3099	3183	3050
2863	咒	e	表二		3214	2691
2864	沧	e	表二	2821	3312	2870
2865	剂	e	表一		2740	3024
2866	慷	e	表二	3102	3190	3093
2868	毡	d	表二	2816	3213	2477
2869	吕	e	表二	2346	2461	2789
2870	亩	e	表一		2969	2625
2871	鲤	d	表一	1717	2274	2481
2872	沁	e	表二	3090	3137	3034
2873	翰	d	表二		2384	2249
2875	帚	e	表二	2592	2744	3163
2876	嫦	d		2872	2565	2358
2877	腕	e	表二	2608	3020	3048
2878	哆	e	表二	2186	2835	2788
2879	炕	d	表一		2240	2393
2880	尴	e	表二		3145	3179
2881	绢	e	表二	2366	3146	3188
2882	恬	e	表二		3560	2978
2883	棘	e	表二	2817	3225	3111
2884	呛	e	表二	2799	2994	3288
2885	靴	d	表二	2940	3212	2234
2886	涵	e	表二		3192	3180
2887	涡	e	表二	3289	2920	2929
2888	皂	d	表一	2992	1869	2366
2889	屿	e	表二	2891	2767	3195
2891	昔	e	表二	3101	3187	3072
2892	剖	e	表一	3305	3082	2758
2893	舀	e	表二	2909	2924	2985
2894	遣	e	表一	3375	3495	2998
2895	宠	e	表二		3136	3026
2896	掷	e	表二		3188	3077
2897	椭	e	表二	2818	3228	3146
2898	锥	e	表二		3270	3102
2899	黛	d			2299	2147
2900	淮	e	表一	2309	2973	2740
2901	悯	e	表二	2135	2762	3002
2902	婪	e	表二	2701	3063	3191
2903	涕	e	表二	3119	3272	3203
2904	椰	e	表二	1923	2434	2894
2906	孝	e	表一	2794	2980	2883
2908	拟	e	表一		3564	3104
2909	蔡	d	表一	1586	1918	1871
2911	掺	e	表二	3092	3148	3202
2912	嚎	e	表二	3067	2989	3114
2914	玄	d	表一	2353	2631	2278
2916	尬	e	表二		3149	3208
2917	澳	e	表一	3058	2919	2912
2918	冀	e	表二		3172	2561
2921	贩	e	表一		2774	2795
2922	薪	e	表二	3298	3019	3038
2923	恕	e	表二		3129	2901
2924	榕	d	表二	2261	1947	2301
2925	勘	e	表二	2513	2981	2937
2926	凰	e	表二	1693	2226	2500
2928	徘	e	表二		3492	2916
2929	徊	e	表二		3493	2917
2930	嘹	e	表二	2928	3101	3197
2931	踱	e	表二	3035	2712	2942
2932	擅	e	表二	2948	3333	3291
2933	抒	e	表一	3357	3396	3205
2934	毙	e	表二	2599	2841	2983
2935	荐	e	表二	3088	3132	2951
2936	雌	e	表一		3130	2947
2937	挫	e	表二	3186	3740	3117
2938	摧	e	表二	3064	2957	3150
2939	倔	e	表二	3301	3056	3054
2940	沼	e	表二	3036	2713	2986
2941	奠	e	表二		3226	3128
2942	佑	d	表二		3044	2096
2943	隶	d	表一		3211	2212
2944	妥	e	表一		3444	3129
2945	藻	e	表一		2756	2759
2947	挟	e	表二		3562	3059
2948	坎	d	表二	3373	3491	2268
2949	窍	e	表二	2507	2837	2814
2950	砰	e	表二	2428	2693	2982
2951	劫	e	表一	3089	3133	2971
2952	廓	e	表二	3100	3184	3051
2954	妮	c	表二	1467	1525	1480
2955	瘸	e	表二	2609	3025	3139
2956	菠	e	表二	2441	3038	3532
2959	芙	e	表二	2189	3029	3236
2960	庸	e	表二		3441	2736
2961	稠	e	表二	2360	2846	3062
2962	猾	e	表二	2615	3103	3256
2963	俺	e	表一	2912	2944	2753
2965	澜	e	表二		3134	3001
2966	匣	e	表二		2356	2544
2967	轴	e	表一	2804	3052	2950
2968	遂	e	表一		3993	2649
2969	旨	e	表一		3321	3158
2970	虏	e	表二	3333	3268	3040
2971	琼	e	表二	1755	2666	2798
2972	喔	d		1986	2191	2468
2974	棠	d	表二	2896	2824	2404
2975	帖	e	表二	2291	2421	2750
2976	帜	e	表二	2716	3393	3166
2977	讥	e	表二	2508	2871	3007
2978	蠕	e	表二	2934	3144	3167
2979	屡	e	表二		2811	2976
2981	姥	d	表二	1911	1886	1756
2982	筹	e	表一		3647	2903
2983	掐	e	表二	2310	3032	3253
2984	聆	e	表二	3355	3394	3173
2985	岔	e	表二	3313	3135	3020
2986	俏	e	表二		2951	2999
2987	惰	e	表二	2616	3107	3313
2988	薯	e	表一	2870	2514	2884
2989	钳	e	表二	2785	2894	3087
2990	叛	e	表一	2941	3216	2754
2991	硝	e	表一		3131	2948
2992	缰	e	表二		3446	3211
2994	侨	e	表二		3443	3079
2995	豁	e	表二		2930	3098
2996	砂	e	表一	3113	3237	3320
2997	钧	e	表二	2437	2987	3065
2998	饺	d	表二	1575	2436	2204
2999	琅	e	表二	3065	2959	3217
3000	酣	e	表二	3358	3397	3243
3001	吮	e	表二	2781	2848	3086
3003	逻	e	表一	2707	3156	3366
3004	纲	e	表一	2922	3021	3071
3006	勿	e	表二	2962	3565	3200
3007	漓	e	表二	3264	2545	2704
3008	猿	e	表二	3291	2952	3037
3011	惕	e	表二		3277	3278
3012	寝	e	表二	3359	3398	3244
3013	弧	e	表二	3093	3151	3271
3015	钮	e	表二	2929	3102	3198
3016	娶	e	表一	3266	2580	2720
3017	肴	e	表二	3141	3401	3321
3018	瘫	e	表二	2813	3189	3089
3019	敷	e	表二	3356	3395	3174
3021	嚣	e	表二		3153	3329
3022	卸	e	表一	2935	3152	3290
3024	契	e	表一		3231	3209
3026	鄙	e	表二	3334	3274	3219
3027	辅	e	表一		3100	3178
3028	匪	e	表二	3293	2972	2734
3029	捶	e	表二	2583	2648	2761
3030	俭	e	表二	3343	3316	3023
3031	匈	d	表一	1888	2435	2172
3032	醋	e	表二	3111	3230	3169
3033	弗	d	表一	3070	3006	2328
3034	乙	d	表一	2531	1710	1898
3035	蛾	e	表二	2782	2855	2606
3036	萍	e	表一	2512	2971	2728
3037	隧	d	表二		2823	2386
3038	眷	e	表二	2972	3746	3367
3039	骇	e	表二	3104	3196	3272
3040	雇	e	表二		3499	3130
3041	螃	e	表二	1387	2309	2562
3042	诫	e	表二	3365	3451	3300
3044	酱	e	表二	3059	2923	2970
3046	泞	e	表二	2708	3159	3392
3047	镰	e	表二	2612	3060	3140
3048	蚌	d	表二	2156	1971	2300
3050	冤	e	表二	3108	3218	3035
3052	豚	d	表二	2489	2496	2056
3055	崎	e	表二	3344	3329	3275
3057	哉	e	表二	3199	3994	2891
3058	勋	e	表二	3353	3390	3120
3061	昭	e	表二	3081	3086	2889
3062	跺	e	表二	3146	3450	3295
3064	憨	e	表二	3094	3154	3354
3065	乒	e	表二	1891	2673	3060
3066	乓	e	表二	1892	2674	3061
3067	巫	d	表二		2020	1858
3068	姜	e	表一	3127	3326	3241
3070	贞	d	表二	2292	2452	2458
3071	摹	e	表二	3074	3018	3033
3073	睫	e	表二	2702	3074	3533
3074	淤	e	表二	3024	2668	2886
3075	鞍	e	表二	2921	3016	3014
3078	唾	e	表一	3308	3099	3172
3079	搔	e	表二	2355	2763	3006
3080	扳	e	表二	2623	3324	3189
3082	枉	e	表二	3114	3240	3399
3086	颁	e	表一	3161	3563	3074
3088	浦	e	表一	2439	3023	3109
3090	嫉	e	表二	3095	3157	3368
3091	狞	e	表二	3361	3409	3405
3092	槛	e	表二	2916	2996	3347
3095	诈	e	表二		3739	3080
3097	夷	e	表一	2234	2561	2849
3098	逞	e	表二	3303	3067	3371
3099	茨	d		3001	2172	2491
3100	楷	e	表二	3387	3567	3220
3101	盔	e	表二	3139	3388	3017
3102	湘	e	表一	2954	3445	3199
3103	撵	e	表二	3079	3066	3353
3104	仑	e	表二	2704	3089	2965
3105	咪	d	表二	1386	2273	2480
3106	腥	e	表二	3327	3235	3298
3107	绞	e	表二	3126	3319	3094
3108	捺	e	表二	3143	3422	3510
3109	辜	e	表二		3336	3362
3111	擒	e	表二	3128	3327	3242
3112	溉	e	表一	2442	3105	3286
3114	窘	e	表二		3504	3264
3115	橄	e	表二	2910	2935	3257
3116	榄	e	表二	2903	2898	3239
3117	拯	e	表二	2358	2820	3214
3118	撮	e	表二	3323	3200	3373
3120	栋	e	表二		2934	3247
3121	浏	e	表二		3236	3303
3122	髓	e	表一	3252	2392	2666
3123	岖	e	表二	3360	3403	3324
3125	刃	e	表二	2525	3232	3255
3126	冥	e	表二		3242	3410
3127	镀	e	表二	3299	3033	3297
3128	伪	e	表一	3419	3737	2975
3130	鬓	e	表二	2517	3065	3269
